,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported
31,2,1,5,2,43.0,1,1125.0,0.0,136.0,48.0,0.0,1
32,0,1,6,2,32.0,1,0.0,850.0,81.0,437.0,453.0,1
33,2,1,5,2,47.0,1,214.0,0.0,1411.0,0.0,1229.0,0
34,2,1,5,2,2.0,1,0.0,0.0,0.0,0.0,0.0,0
35,2,1,5,2,20.0,1,225.0,0.0,1750.0,990.0,0.0,0
36,1,0,3,0,28.0,1,0.0,0.0,0.0,0.0,0.0,0
37,2,1,3,0,23.0,1,784.0,964.0,0.0,951.0,0.0,1
38,0,1,5,0,15.0,1,0.0,492.0,48.0,20.0,401.0,1
39,0,1,5,0,20.0,1,554.0,195.0,0.0,2606.0,0.0,1
40,0,0,6,0,30.0,1,0.0,0.0,174.0,0.0,0.0,1
41,0,0,6,2,17.0,1,0.0,0.0,0.0,0.0,0.0,0
42,1,1,1,2,45.0,1,0.0,164.0,45.0,2511.0,855.0,1
43,0,0,6,2,55.0,1,0.0,0.0,0.0,0.0,0.0,1
44,0,0,6,0,4.0,1,0.0,0.0,0.0,0.0,0.0,0
45,0,0,6,1,21.0,1,0.0,0.0,0.0,0.0,0.0,0
46,2,1,5,2,21.0,1,970.0,0.0,180.0,0.0,64.0,1
47,2,0,5,2,19.0,1,0.0,0.0,0.0,0.0,0.0,0
48,0,1,4,0,35.0,1,790.0,0.0,0.0,311.0,0.0,1
49,0,1,4,2,56.0,1,0.0,112.0,0.0,1379.0,127.0,1
50,0,1,6,2,29.0,1,4.0,0.0,2.0,4683.0,0.0,1
51,0,1,5,2,25.0,1,0.0,0.0,1938.0,0.0,1.0,0
52,1,1,0,2,2.0,1,0.0,0.0,0.0,0.0,0.0,0
53,1,0,0,2,38.0,1,0.0,0.0,0.0,0.0,0.0,0
54,1,1,0,2,27.0,1,279.0,605.0,3374.0,286.0,3.0,0
55,0,0,6,1,36.0,1,0.0,0.0,0.0,0.0,0.0,1
56,0,1,5,2,22.0,1,45.0,1096.0,148.0,1377.0,1.0,1
57,0,1,5,2,62.0,1,0.0,592.0,0.0,17.0,25.0,1
58,2,0,5,2,15.0,1,0.0,0.0,0.0,0.0,0.0,0
59,0,0,4,2,33.0,1,0.0,0.0,174.0,0.0,0.0,0
60,0,1,6,2,62.0,1,1.0,153.0,197.0,0.0,460.0,1
61,0,0,6,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0
62,0,1,6,2,18.0,1,1.0,258.0,446.0,0.0,0.0,0
63,0,1,5,0,21.0,1,1946.0,37.0,0.0,0.0,24.0,1
64,2,1,4,2,29.0,1,793.0,0.0,2.0,253.0,0.0,1
65,0,1,5,2,42.0,1,887.0,0.0,9.0,6.0,0.0,0
66,0,1,5,2,19.0,1,190.0,0.0,5.0,1.0,726.0,1
67,0,1,5,2,17.0,1,16.0,2165.0,0.0,0.0,52.0,1
68,0,1,5,2,14.0,1,0.0,1.0,0.0,0.0,1063.0,1
69,2,1,3,1,37.0,1,46.0,83.0,738.0,0.0,12.0,1
70,1,1,2,2,42.0,1,1.0,8397.0,0.0,0.0,506.0,0
71,2,1,5,2,27.0,1,147.0,0.0,1018.0,0.0,0.0,0
72,2,1,5,2,28.0,1,14.0,0.0,1295.0,0.0,0.0,0
73,1,1,2,2,38.0,1,0.0,5840.0,0.0,321.0,9654.0,1
74,0,0,6,2,13.0,1,0.0,0.0,0.0,0.0,0.0,1
75,2,1,5,2,42.0,1,7406.0,0.0,0.0,0.0,0.0,1
76,2,0,5,2,2.0,1,0.0,0.0,0.0,0.0,0.0,0
77,2,1,5,2,8.0,1,0.0,0.0,0.0,0.0,0.0,0
78,0,1,6,2,24.0,1,688.0,0.0,0.0,0.0,17.0,0
79,1,0,2,2,40.0,1,0.0,0.0,0.0,0.0,0.0,0
80,0,1,5,2,43.0,1,211.0,0.0,0.0,638.0,513.0,1
81,2,0,4,1,45.0,1,0.0,0.0,0.0,0.0,0.0,0
82,0,0,6,2,35.0,1,0.0,0.0,0.0,0.0,0.0,0
83,0,0,6,2,26.0,1,225.0,0.0,0.0,0.0,0.0,0
84,0,1,5,2,27.0,1,1.0,697.0,31.0,188.0,0.0,1
85,0,1,6,2,19.0,1,0.0,0.0,670.0,1.0,34.0,1
86,0,0,6,2,0.0,1,0.0,0.0,174.0,0.0,0.0,0
87,0,0,6,2,3.0,1,0.0,0.0,0.0,0.0,0.0,0
88,1,1,0,2,54.0,1,0.0,1208.0,0.0,3.0,637.0,1
89,0,1,6,2,26.0,1,0.0,856.0,5.0,32.0,0.0,1
90,0,1,6,2,26.0,1,0.0,2811.0,957.0,0.0,87.0,0
91,0,1,5,1,23.0,1,311.0,427.0,526.0,37.0,0.0,1
92,0,1,6,2,2.0,1,0.0,0.0,0.0,0.0,0.0,0
93,2,0,5,2,31.0,1,0.0,0.0,0.0,0.0,0.0,0
94,0,1,5,2,18.0,1,0.0,0.0,0.0,830.0,91.0,1
95,0,1,5,2,24.0,1,0.0,458.0,0.0,0.0,17.0,0
96,0,0,6,0,9.0,1,0.0,0.0,0.0,0.0,0.0,0
97,0,0,6,2,6.0,1,0.0,0.0,0.0,0.0,0.0,1
98,0,1,5,2,27.0,1,0.0,0.0,570.0,2.0,131.0,1
99,2,1,3,2,21.0,1,1743.0,5.0,17.0,0.0,0.0,1
100,0,0,6,2,23.0,1,0.0,0.0,0.0,0.0,0.0,1
101,0,1,6,2,31.0,1,562.0,0.0,326.0,0.0,0.0,1
102,0,1,6,2,0.0,1,0.0,0.0,0.0,0.0,0.0,0
103,1,1,5,2,32.0,1,0.0,410.0,6.0,3929.0,764.0,1
104,1,1,1,2,40.0,1,0.0,331.0,0.0,0.0,1687.0,1
105,1,1,1,2,42.0,1,2209.0,11418.0,0.0,1868.0,445.0,0
106,1,0,1,2,28.0,1,0.0,0.0,0.0,0.0,0.0,0
107,1,0,4,2,29.0,1,0.0,0.0,0.0,0.0,0.0,0
108,1,1,1,0,48.0,0,0.0,2537.0,87.0,17.0,13.0,0
109,0,1,5,2,64.0,1,0.0,0.0,804.0,0.0,0.0,0
110,0,1,6,2,27.0,1,82.0,157.0,429.0,238.0,1.0,1
111,2,1,5,2,26.0,1,0.0,0.0,0.0,0.0,305.0,0
112,1,1,3,2,33.0,1,1.0,2223.0,0.0,12.0,404.0,0
113,0,1,0,2,39.0,1,0.0,2344.0,0.0,65.0,6898.0,1
114,1,0,0,2,13.0,1,0.0,0.0,0.0,0.0,0.0,0
115,2,0,5,2,24.0,1,0.0,0.0,0.0,0.0,305.0,0
116,0,1,6,2,29.0,1,0.0,0.0,0.0,699.0,74.0,1
117,0,1,5,2,18.0,1,55.0,597.0,49.0,0.0,1.0,1
118,2,0,5,2,67.0,1,0.0,0.0,0.0,0.0,0.0,0
119,2,1,4,2,35.0,1,701.0,0.0,296.0,0.0,25.0,1
120,2,1,3,2,61.0,0,2353.0,334.0,9.0,316.0,2.0,1
121,2,1,4,2,45.0,1,2103.0,6.0,0.0,0.0,0.0,1
122,0,0,6,1,22.0,1,0.0,0.0,174.0,0.0,0.0,0
123,2,0,5,2,19.0,1,0.0,0.0,0.0,0.0,0.0,0
124,2,1,3,2,36.0,1,2738.0,0.0,0.0,0.0,0.0,1
125,0,1,6,2,19.0,1,0.0,14.0,730.0,0.0,0.0,0
126,0,1,6,1,47.0,1,97.0,418.0,126.0,25.0,55.0,1
127,0,0,6,2,13.0,1,0.0,0.0,0.0,0.0,0.0,0
128,0,1,4,2,34.0,1,0.0,22.0,0.0,564.0,207.0,1
129,1,0,2,0,35.0,1,0.0,0.0,0.0,0.0,0.0,0
130,0,0,6,2,24.0,1,0.0,0.0,0.0,0.0,0.0,0
131,0,1,5,2,26.0,1,440.0,0.0,0.0,0.0,462.0,1
132,2,1,5,2,31.0,1,225.0,0.0,97.0,0.0,0.0,1
133,0,1,5,2,20.0,1,0.0,420.0,210.0,0.0,0.0,0
134,0,1,6,2,56.0,1,0.0,0.0,0.0,0.0,0.0,1
135,0,0,6,2,50.0,1,0.0,0.0,0.0,0.0,0.0,0
136,2,1,5,2,42.0,1,1072.0,0.0,10.0,0.0,76.0,1
137,0,0,6,0,29.0,1,0.0,0.0,0.0,0.0,0.0,0
138,0,0,6,0,38.0,1,0.0,0.0,0.0,0.0,0.0,1
139,0,1,5,2,41.0,1,0.0,0.0,0.0,0.0,607.0,1
140,0,1,6,2,22.0,1,4119.0,0.0,0.0,0.0,61.0,1
141,1,0,1,2,26.0,1,0.0,0.0,0.0,0.0,0.0,0
142,1,0,1,2,17.0,1,0.0,0.0,0.0,0.0,0.0,0
143,0,1,6,2,57.0,1,50.0,1688.0,0.0,311.0,135.0,0
144,0,0,6,1,17.0,1,0.0,0.0,0.0,0.0,0.0,1
145,2,0,5,2,35.0,1,0.0,0.0,0.0,0.0,0.0,0
146,2,0,5,2,13.0,1,0.0,0.0,0.0,0.0,0.0,0
147,2,1,5,2,27.0,1,1365.0,0.0,48.0,22.0,137.0,1
148,0,0,6,2,31.0,1,0.0,0.0,0.0,0.0,0.0,1
149,0,1,4,2,24.0,1,0.0,0.0,0.0,221.0,567.0,1
150,0,0,6,1,19.0,1,0.0,0.0,0.0,0.0,0.0,0
151,0,0,6,2,32.0,1,0.0,0.0,0.0,0.0,0.0,0
152,0,1,4,2,58.0,1,0.0,985.0,0.0,5.0,0.0,0
153,0,1,5,0,21.0,1,287.0,0.0,16.0,115.0,175.0,1
154,1,1,1,2,38.0,1,0.0,10346.0,1.0,14970.0,2111.0,1
155,2,1,3,2,38.0,1,3414.0,0.0,161.0,28.0,119.0,1
156,0,1,6,2,19.0,1,1.0,219.0,673.0,2.0,11.0,0
157,0,1,6,2,0.0,1,0.0,0.0,0.0,0.0,0.0,1
158,0,1,6,2,3.0,1,0.0,0.0,0.0,0.0,0.0,0
159,0,1,6,2,20.0,1,0.0,0.0,3.0,299.0,92.0,1
160,1,0,2,2,24.0,1,0.0,0.0,0.0,0.0,0.0,0
161,0,1,5,2,37.0,1,17.0,146.0,426.0,0.0,232.0,0
162,0,1,6,2,25.0,1,62.0,0.0,0.0,0.0,956.0,1
163,0,0,6,2,56.0,1,0.0,0.0,0.0,0.0,0.0,0
164,0,1,4,0,49.0,1,84.0,3.0,401.0,202.0,98.0,1
165,0,0,6,0,11.0,1,0.0,0.0,0.0,0.0,0.0,1
166,0,0,6,2,1.0,1,0.0,0.0,0.0,0.0,0.0,0
167,0,1,6,2,8.0,1,0.0,0.0,0.0,0.0,0.0,1
168,0,1,6,2,39.0,1,0.0,0.0,10.0,898.0,0.0,1
169,2,0,5,2,2.0,1,0.0,0.0,0.0,0.0,0.0,0
170,2,1,5,2,23.0,1,225.0,0.0,8.0,1072.0,0.0,1
171,2,1,5,2,0.0,1,0.0,0.0,0.0,0.0,0.0,0
172,2,1,5,2,39.0,1,406.0,0.0,867.0,0.0,0.0,0
173,2,1,3,1,25.0,1,1052.0,0.0,719.0,0.0,7.0,1
174,1,1,2,2,36.0,1,0.0,972.0,0.0,795.0,575.0,1
175,0,1,6,1,52.0,1,0.0,0.0,0.0,0.0,0.0,0
176,0,0,6,2,18.0,1,0.0,0.0,0.0,0.0,0.0,1
177,0,0,6,2,15.0,1,0.0,0.0,0.0,0.0,0.0,0
178,1,0,1,2,35.0,1,0.0,0.0,0.0,0.0,0.0,0
179,1,0,1,2,47.0,1,0.0,0.0,0.0,0.0,0.0,0
180,1,0,1,0,45.0,1,0.0,0.0,0.0,0.0,0.0,0
181,1,1,0,0,29.0,1,0.0,2433.0,174.0,878.0,443.0,0
182,1,0,2,2,51.0,1,0.0,0.0,0.0,0.0,0.0,0
183,0,1,6,2,29.0,1,0.0,2.0,66.0,0.0,705.0,1
184,1,1,2,0,29.0,1,2.0,1720.0,12.0,1125.0,122.0,0
185,0,0,6,1,19.0,1,0.0,0.0,0.0,0.0,0.0,1
186,0,0,3,0,24.0,1,0.0,0.0,174.0,0.0,0.0,0
187,2,1,5,2,29.0,1,902.0,1.0,137.0,0.0,0.0,0
188,2,0,5,2,11.0,1,0.0,0.0,0.0,0.0,0.0,0
189,2,1,5,2,17.0,1,848.0,0.0,307.0,182.0,0.0,1
190,0,1,4,2,13.0,1,192.0,0.0,0.0,51.0,739.0,1
191,0,1,5,2,35.0,1,147.0,188.0,0.0,10.0,387.0,1
192,0,1,5,2,21.0,1,367.0,281.0,0.0,0.0,146.0,1
193,0,1,5,0,21.0,1,0.0,56.0,0.0,0.0,1918.0,1
194,0,1,5,2,38.0,1,1517.0,0.0,0.0,27.0,0.0,1
195,0,0,6,2,19.0,1,0.0,0.0,0.0,0.0,0.0,0
196,0,0,6,2,2.0,1,0.0,0.0,0.0,0.0,0.0,0
197,0,1,6,2,0.0,1,0.0,0.0,0.0,0.0,0.0,0
198,0,0,6,2,13.0,1,0.0,0.0,0.0,0.0,0.0,1
199,0,1,4,2,25.0,1,122.0,84.0,174.0,0.0,0.0,1
200,0,1,5,2,16.0,1,0.0,3.0,0.0,0.0,1099.0,1
201,0,1,6,0,1.0,1,0.0,0.0,0.0,0.0,0.0,1
202,0,0,6,2,15.0,1,0.0,0.0,0.0,0.0,0.0,0
203,2,1,4,0,21.0,1,2237.0,0.0,119.0,0.0,0.0,1
204,2,1,4,2,23.0,1,1215.0,80.0,1.0,2.0,0.0,1
205,2,1,4,2,33.0,1,1933.0,12.0,188.0,1.0,0.0,1
206,2,0,4,2,21.0,1,0.0,0.0,0.0,0.0,0.0,0
207,2,1,4,2,41.0,1,1230.0,0.0,301.0,43.0,1023.0,1
208,2,1,4,2,16.0,1,915.0,0.0,221.0,234.0,0.0,1
209,2,0,4,2,42.0,1,0.0,0.0,0.0,0.0,0.0,1
210,2,1,5,2,20.0,1,1406.0,0.0,0.0,11.0,0.0,1
211,2,0,5,2,24.0,1,0.0,0.0,0.0,0.0,0.0,0
212,2,0,4,2,16.0,1,0.0,0.0,0.0,0.0,0.0,0
213,0,1,6,2,21.0,1,0.0,2.0,665.0,0.0,9.0,1
214,2,1,5,2,32.0,0,181.0,0.0,5.0,1634.0,0.0,1
215,0,0,6,1,58.0,1,0.0,0.0,0.0,0.0,0.0,0
216,0,1,5,2,24.0,1,4.0,7.0,0.0,713.0,79.0,1
217,2,1,5,2,30.0,1,85.0,0.0,1.0,1720.0,0.0,1
218,0,0,6,1,27.0,1,0.0,458.0,0.0,0.0,0.0,1
219,2,1,5,2,32.0,1,56.0,0.0,256.0,1438.0,0.0,1
220,0,1,5,2,43.0,1,225.0,888.0,0.0,0.0,0.0,1
221,1,0,1,2,42.0,1,0.0,0.0,0.0,0.0,0.0,0
222,2,1,5,2,37.0,1,637.0,0.0,0.0,92.0,319.0,1
223,2,0,5,2,35.0,1,0.0,0.0,0.0,0.0,0.0,0
224,1,1,4,0,33.0,1,0.0,1249.0,0.0,4812.0,1116.0,1
225,0,1,5,2,18.0,1,313.0,1.0,691.0,283.0,0.0,1
226,0,0,6,2,21.0,1,0.0,0.0,0.0,0.0,0.0,1
227,2,0,5,2,43.0,1,0.0,0.0,0.0,0.0,0.0,0
228,2,0,5,0,14.0,1,0.0,0.0,0.0,0.0,0.0,0
229,1,1,2,0,46.0,1,0.0,3571.0,0.0,0.0,7.0,0
230,1,1,2,2,33.0,1,0.0,86.0,796.0,584.0,10912.0,1
231,2,1,3,2,21.0,1,2947.0,0.0,287.0,27.0,0.0,1
232,1,1,2,2,33.0,1,0.0,1.0,0.0,8620.0,1063.0,1
233,0,0,6,1,47.0,1,225.0,0.0,0.0,0.0,0.0,1
234,0,0,2,0,54.0,1,0.0,0.0,0.0,0.0,0.0,0
235,0,1,5,2,30.0,1,335.0,695.0,541.0,0.0,0.0,1
236,0,1,6,2,29.0,1,272.0,615.0,0.0,0.0,1.0,1
237,0,1,5,2,21.0,1,702.0,172.0,408.0,2.0,6.0,0
238,1,0,0,2,24.0,1,0.0,0.0,0.0,0.0,0.0,0
239,2,1,5,0,21.0,1,1664.0,0.0,174.0,0.0,0.0,1
240,2,0,5,2,60.0,1,0.0,0.0,0.0,0.0,0.0,0
241,0,1,5,2,22.0,1,0.0,0.0,313.0,299.0,92.0,1
242,1,1,4,2,26.0,1,0.0,4810.0,0.0,981.0,2054.0,1
243,0,1,5,2,26.0,1,66.0,29.0,0.0,0.0,803.0,1
244,0,0,6,2,28.0,1,0.0,0.0,0.0,0.0,0.0,0
245,1,0,3,2,39.0,1,0.0,0.0,0.0,311.0,0.0,0
246,0,1,5,2,13.0,1,118.0,0.0,0.0,754.0,1.0,1
247,0,1,5,0,47.0,1,0.0,231.0,592.0,0.0,0.0,0
248,0,1,5,2,63.0,1,0.0,25.0,128.0,0.0,1240.0,1
249,1,0,3,0,29.0,1,0.0,0.0,0.0,0.0,0.0,0
250,0,1,5,0,50.0,1,44.0,2390.0,0.0,53.0,0.0,0
251,0,1,5,2,35.0,1,0.0,0.0,0.0,888.0,305.0,1
252,0,1,6,2,45.0,1,0.0,97.0,0.0,14.0,333.0,1
253,0,1,5,2,19.0,1,0.0,0.0,2078.0,0.0,0.0,0
254,0,1,5,2,21.0,1,0.0,918.0,0.0,0.0,0.0,0
255,0,0,6,1,29.0,1,0.0,0.0,0.0,0.0,0.0,0
256,0,1,5,2,22.0,1,146.0,654.0,1.0,0.0,2.0,0
257,1,0,4,2,14.0,1,0.0,0.0,0.0,0.0,0.0,0
258,1,0,4,0,42.0,1,0.0,0.0,0.0,0.0,0.0,0
259,0,1,5,0,57.0,1,3.0,1281.0,29.0,162.0,13.0,1
260,1,0,5,0,39.0,1,0.0,0.0,0.0,0.0,0.0,0
261,1,1,1,2,28.0,1,0.0,587.0,32.0,6.0,1460.0,1
262,0,1,5,0,19.0,1,0.0,0.0,0.0,0.0,828.0,1
263,1,0,2,0,19.0,1,0.0,0.0,0.0,0.0,0.0,0
264,1,1,1,0,26.0,1,0.0,4458.0,0.0,1157.0,262.0,0
265,1,0,1,2,17.0,1,0.0,0.0,0.0,0.0,0.0,0
266,1,1,1,2,43.0,1,0.0,0.0,0.0,0.0,0.0,0
267,1,1,1,0,9.0,1,0.0,0.0,0.0,0.0,0.0,0
268,1,1,3,2,40.0,1,0.0,6500.0,88.0,1090.0,0.0,0
269,1,0,1,2,50.0,1,0.0,0.0,0.0,311.0,0.0,0
270,0,1,6,2,24.0,1,90.0,2.0,1324.0,17.0,0.0,0
271,1,0,0,0,57.0,1,0.0,0.0,0.0,0.0,0.0,0
272,0,0,5,2,16.0,1,0.0,0.0,0.0,0.0,0.0,1
273,0,1,5,2,23.0,1,0.0,0.0,15.0,0.0,1370.0,1
274,0,0,6,2,23.0,1,0.0,0.0,0.0,0.0,0.0,0
275,1,1,4,2,28.0,1,0.0,422.0,0.0,1851.0,5166.0,1
276,1,1,2,0,23.0,1,0.0,584.0,0.0,20.0,2469.0,1
277,0,1,4,2,23.0,1,368.0,175.0,259.0,1.0,101.0,1
278,0,1,5,2,18.0,1,0.0,0.0,1359.0,0.0,0.0,0
279,0,1,5,2,18.0,1,1194.0,0.0,157.0,6.0,0.0,1
280,1,1,5,2,67.0,1,225.0,230.0,0.0,4476.0,241.0,1
281,0,1,5,1,60.0,1,7.0,540.0,1.0,0.0,4.0,0
282,0,0,6,0,29.0,1,0.0,0.0,174.0,0.0,0.0,0
283,0,1,5,0,49.0,1,331.0,0.0,0.0,318.0,0.0,0
284,0,1,6,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0
285,0,1,6,0,26.0,1,386.0,0.0,74.0,0.0,1330.0,1
286,0,0,6,1,35.0,1,0.0,0.0,0.0,0.0,0.0,0
287,1,1,1,2,24.0,1,0.0,2628.0,174.0,170.0,0.0,0
288,1,0,1,2,20.0,1,0.0,0.0,0.0,0.0,305.0,0
289,0,1,6,2,18.0,1,0.0,2.0,0.0,311.0,0.0,1
290,0,1,6,2,21.0,1,0.0,5.0,3.0,0.0,305.0,1
291,0,1,5,2,59.0,0,1018.0,0.0,209.0,0.0,0.0,1
292,0,0,6,1,13.0,1,0.0,0.0,0.0,0.0,0.0,1
293,0,0,6,0,43.0,1,0.0,0.0,0.0,0.0,0.0,1
294,0,0,6,2,29.0,1,0.0,0.0,0.0,0.0,0.0,1
295,0,1,5,2,19.0,1,17.0,0.0,784.0,0.0,2.0,0
296,1,1,2,2,2.0,1,0.0,0.0,0.0,0.0,0.0,0
297,1,1,2,2,32.0,1,247.0,4651.0,0.0,46.0,202.0,0
298,1,1,2,2,33.0,1,443.0,317.0,0.0,148.0,1260.0,1
299,0,1,5,2,25.0,1,0.0,0.0,251.0,0.0,552.0,1
300,2,0,5,0,29.0,1,0.0,0.0,0.0,0.0,0.0,0
301,2,1,5,2,29.0,1,5715.0,2.0,211.0,1476.0,0.0,1
302,0,1,5,2,44.0,1,695.0,1.0,16.0,0.0,0.0,1
303,2,0,5,0,2.0,1,0.0,0.0,0.0,0.0,0.0,0
304,2,1,5,2,19.0,1,417.0,349.0,634.0,3.0,1057.0,0
305,2,1,5,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0
306,0,0,6,2,18.0,1,0.0,0.0,174.0,0.0,0.0,0
307,1,0,1,0,38.0,1,0.0,0.0,0.0,0.0,0.0,0
308,0,0,6,1,5.0,1,0.0,0.0,0.0,0.0,0.0,1
309,0,1,5,1,31.0,1,121.0,0.0,0.0,274.0,907.0,1
310,2,0,4,2,30.0,1,0.0,0.0,0.0,0.0,0.0,1
311,0,0,6,0,15.0,1,0.0,0.0,0.0,0.0,0.0,0
312,2,1,5,2,27.0,1,434.0,0.0,1434.0,0.0,0.0,1
313,2,1,3,2,22.0,1,142.0,2876.0,202.0,3.0,0.0,0
314,2,1,5,2,36.0,1,520.0,0.0,1865.0,0.0,0.0,0
315,0,0,6,1,14.0,1,0.0,0.0,0.0,0.0,0.0,0
316,2,1,5,2,23.0,1,2001.0,0.0,2975.0,0.0,0.0,1
317,0,0,5,2,18.0,1,0.0,0.0,0.0,0.0,0.0,0
318,1,0,1,0,36.0,1,0.0,0.0,0.0,0.0,0.0,0
319,0,1,5,2,41.0,1,225.0,1198.0,0.0,124.0,572.0,1
320,0,0,6,2,50.0,1,0.0,0.0,0.0,0.0,0.0,0
321,0,0,6,1,32.0,1,0.0,0.0,0.0,0.0,0.0,0
322,0,1,5,1,26.0,1,148.0,0.0,453.0,0.0,88.0,1
323,0,1,5,2,15.0,1,358.0,212.0,33.0,0.0,112.0,1
324,0,1,5,0,33.0,1,0.0,36.0,0.0,280.0,417.0,0
325,0,1,6,0,29.0,1,0.0,0.0,0.0,685.0,21.0,1
326,2,1,5,2,26.0,1,2832.0,107.0,4447.0,15.0,4.0,1
327,2,0,5,2,61.0,1,0.0,0.0,0.0,0.0,0.0,0
328,0,1,6,2,24.0,1,0.0,0.0,592.0,177.0,58.0,0
329,0,1,5,2,30.0,1,0.0,95.0,0.0,441.0,1023.0,1
330,2,0,5,2,24.0,1,0.0,0.0,0.0,0.0,0.0,0
331,0,1,5,2,24.0,1,0.0,5.0,0.0,2766.0,0.0,1
332,0,0,6,2,41.0,1,0.0,0.0,0.0,0.0,0.0,1
333,0,1,4,2,20.0,1,0.0,0.0,558.0,0.0,230.0,1
334,0,1,6,2,22.0,1,116.0,0.0,786.0,6.0,0.0,0
335,1,1,2,0,63.0,1,0.0,1068.0,0.0,176.0,8188.0,1
336,1,1,1,0,18.0,1,17.0,215.0,4.0,5132.0,697.0,1
337,1,0,1,0,21.0,1,0.0,0.0,0.0,0.0,0.0,0
338,1,1,1,2,79.0,1,5649.0,235.0,7.0,2579.0,2175.0,1
339,1,0,1,2,56.0,1,0.0,0.0,0.0,0.0,0.0,0
340,1,0,1,2,13.0,1,0.0,0.0,0.0,0.0,0.0,0
341,1,1,1,2,33.0,1,0.0,2491.0,6.0,1173.0,1059.0,1
342,1,0,1,2,32.0,1,0.0,0.0,0.0,0.0,0.0,0
343,0,1,6,2,31.0,1,198.0,0.0,591.0,0.0,164.0,0
344,1,0,5,0,26.0,1,0.0,0.0,0.0,0.0,0.0,0
345,1,0,1,0,18.0,1,0.0,0.0,0.0,0.0,0.0,0
346,1,0,1,0,38.0,1,0.0,0.0,174.0,0.0,0.0,0
347,0,1,6,2,23.0,1,348.0,0.0,0.0,4.0,368.0,1
348,0,1,6,2,28.0,1,82.0,773.0,0.0,3693.0,140.0,1
349,0,0,6,1,34.0,1,0.0,0.0,0.0,0.0,0.0,1
350,0,1,6,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0
351,0,1,6,2,14.0,1,3.0,0.0,881.0,25.0,0.0,0
352,0,1,6,2,23.0,1,13.0,747.0,0.0,0.0,128.0,1
353,0,0,6,2,49.0,1,0.0,0.0,0.0,0.0,0.0,1
354,0,0,6,2,14.0,1,0.0,0.0,0.0,0.0,0.0,1
355,0,1,4,2,18.0,1,391.0,44.0,356.0,0.0,0.0,1
356,1,1,2,1,27.0,0,69.0,5728.0,0.0,0.0,987.0,0
357,0,1,4,2,48.0,1,0.0,111.0,0.0,1508.0,0.0,1
358,1,1,1,0,31.0,0,0.0,11003.0,552.0,8157.0,5688.0,1
359,1,1,1,0,61.0,1,1.0,608.0,0.0,3835.0,1.0,1
360,0,0,6,2,18.0,1,0.0,0.0,0.0,0.0,0.0,0
