,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Relatives,Alone,Title
58,1,2,0,5.0,1,2,27.75,2,3,1.0,1
59,0,3,1,11.0,5,2,46.9,2,7,1.0,0
60,0,3,1,22.0,0,0,7.2292,0,0,0.0,2
61,1,1,0,38.0,0,0,80.0,2,0,0.0,1
62,0,1,1,45.0,1,0,83.475,2,1,1.0,2
63,0,3,1,4.0,3,2,27.9,2,5,1.0,0
64,0,1,1,39.99092739130857,0,0,27.7208,0,0,0.0,2
65,1,3,1,24.293474945068514,1,1,15.2458,0,2,1.0,0
66,1,2,0,29.0,0,0,10.5,2,0,0.0,3
67,0,3,1,19.0,0,0,8.1583,2,0,0.0,2
68,1,3,0,17.0,4,2,7.925,2,6,1.0,1
69,0,3,1,26.0,2,0,8.6625,2,2,1.0,2
70,0,2,1,32.0,0,0,10.5,2,0,0.0,2
71,0,3,0,16.0,5,2,46.9,2,7,1.0,1
72,0,2,1,21.0,0,0,73.5,2,0,0.0,2
73,0,3,1,26.0,1,0,14.4542,0,1,1.0,2
74,1,3,1,32.0,0,0,56.4958,2,0,0.0,2
75,0,3,1,25.0,0,0,7.65,2,0,0.0,2
76,0,3,1,27.210377476814877,0,0,7.8958,2,0,0.0,2
77,0,3,1,30.65516736544374,0,0,8.05,2,0,0.0,2
78,1,2,1,0.83,0,2,29.0,2,2,1.0,0
79,1,3,0,30.0,0,0,12.475,2,0,0.0,1
80,0,3,1,22.0,0,0,9.0,2,0,0.0,2
81,1,3,1,29.0,0,0,9.5,2,0,0.0,2
82,1,3,0,12.266406342451518,0,0,7.7875,1,0,0.0,1
83,0,1,1,28.0,0,0,47.1,2,0,0.0,2
84,1,2,0,17.0,0,0,10.5,2,0,0.0,1
85,1,3,0,33.0,3,0,15.85,2,3,1.0,3
86,0,3,1,16.0,1,3,34.375,2,4,1.0,2
87,0,3,1,30.65516736544374,0,0,8.05,2,0,0.0,2
88,1,1,0,23.0,3,2,263.0,2,5,1.0,1
89,0,3,1,24.0,0,0,8.05,2,0,0.0,2
90,0,3,1,29.0,0,0,8.05,2,0,0.0,2
91,0,3,1,20.0,0,0,7.8542,2,0,0.0,2
92,0,1,1,46.0,1,0,61.175,2,1,1.0,2
93,0,3,1,26.0,1,2,20.575,2,3,1.0,2
94,0,3,1,59.0,0,0,7.25,2,0,0.0,2
95,0,3,1,30.65516736544374,0,0,8.05,2,0,0.0,2
96,0,1,1,71.0,0,0,34.6542,0,0,0.0,2
97,1,1,1,23.0,0,1,63.3583,0,1,1.0,2
98,1,2,0,34.0,0,1,23.0,2,1,1.0,3
99,0,2,1,34.0,1,0,26.0,2,1,1.0,2
100,0,3,0,28.0,0,0,7.8958,2,0,0.0,1
101,0,3,1,27.210377476814877,0,0,7.8958,2,0,0.0,2
102,0,1,1,21.0,0,1,77.2875,2,1,1.0,2
103,0,3,1,33.0,0,0,8.6542,2,0,0.0,2
104,0,3,1,37.0,2,0,7.925,2,2,1.0,2
105,0,3,1,28.0,0,0,7.8958,2,0,0.0,2
106,1,3,0,21.0,0,0,7.65,2,0,0.0,1
107,1,3,1,29.66352947403074,0,0,7.775,2,0,0.0,2
108,0,3,1,38.0,0,0,7.8958,2,0,0.0,2
109,1,3,0,39.16629157259137,1,0,24.15,1,1,1.0,1
110,0,1,1,47.0,0,0,52.0,2,0,0.0,2
111,0,3,0,14.5,1,0,14.4542,0,1,1.0,1
112,0,3,1,22.0,0,0,8.05,2,0,0.0,2
113,0,3,0,20.0,1,0,9.825,2,1,1.0,1
114,0,3,0,17.0,0,0,14.4583,0,0,0.0,1
115,0,3,1,21.0,0,0,7.925,2,0,0.0,2
116,0,3,1,70.5,0,0,7.75,1,0,0.0,2
117,0,2,1,29.0,1,0,21.0,2,1,1.0,2
118,0,1,1,24.0,0,1,247.5208,0,1,1.0,2
119,0,3,0,2.0,4,2,31.275,2,6,1.0,1
120,0,2,1,21.0,2,0,73.5,2,2,1.0,2
121,0,3,1,30.65516736544374,0,0,8.05,2,0,0.0,2
122,0,2,1,32.5,1,0,30.0708,0,1,1.0,2
123,1,2,0,32.5,0,0,13.0,2,0,0.0,1
124,0,1,1,54.0,0,1,77.2875,2,1,1.0,2
125,1,3,1,12.0,1,0,11.2417,0,1,1.0,0
126,0,3,1,44.490434136549865,0,0,7.75,1,0,0.0,2
127,1,3,1,24.0,0,0,7.1417,2,0,0.0,2
128,1,3,0,12.481216000256016,1,1,22.3583,0,2,1.0,1
129,0,3,1,45.0,0,0,6.975,2,0,0.0,2
130,0,3,1,33.0,0,0,7.8958,0,0,0.0,2
131,0,3,1,20.0,0,0,7.05,2,0,0.0,2
132,0,3,0,47.0,1,0,14.5,2,1,1.0,3
133,1,2,0,29.0,1,0,26.0,2,1,1.0,3
134,0,2,1,25.0,0,0,13.0,2,0,0.0,2
135,0,2,1,23.0,0,0,15.0458,0,0,0.0,2
136,1,1,0,19.0,0,2,26.2833,2,2,1.0,1
137,0,1,1,37.0,1,0,53.1,2,1,1.0,2
138,0,3,1,16.0,0,0,9.2167,2,0,0.0,2
139,0,1,1,24.0,0,0,79.2,0,0,0.0,2
140,0,3,0,29.01394025363762,0,2,15.2458,0,2,1.0,3
141,1,3,0,22.0,0,0,7.75,2,0,0.0,1
142,1,3,0,24.0,1,0,15.85,2,1,1.0,3
143,0,3,1,19.0,0,0,6.75,1,0,0.0,2
144,0,2,1,18.0,0,0,11.5,2,0,0.0,2
145,0,2,1,19.0,1,1,36.75,2,2,1.0,2
146,1,3,1,27.0,0,0,7.7958,2,0,0.0,2
147,0,3,0,9.0,2,2,34.375,2,4,1.0,1
148,0,2,1,36.5,0,2,26.0,2,2,1.0,2
149,0,2,1,42.0,0,0,13.0,2,0,0.0,4
150,0,2,1,51.0,0,0,12.525,2,0,0.0,4
151,1,1,0,22.0,1,0,66.6,2,1,1.0,3
152,0,3,1,55.5,0,0,8.05,2,0,0.0,2
153,0,3,1,40.5,0,2,14.5,2,2,1.0,2
154,0,3,1,30.751488202775956,0,0,7.3125,2,0,0.0,2
155,0,1,1,51.0,0,1,61.3792,0,1,1.0,2
156,1,3,0,16.0,0,0,7.7333,1,0,0.0,1
157,0,3,1,30.0,0,0,8.05,2,0,0.0,2
158,0,3,1,25.777770099927867,0,0,8.6625,2,0,0.0,2
159,0,3,1,15.479405589659006,8,2,69.55,2,10,1.0,0
160,0,3,1,44.0,0,1,16.1,2,1,1.0,2
161,1,2,0,40.0,0,0,15.75,2,0,0.0,3
162,0,3,1,26.0,0,0,7.775,2,0,0.0,2
163,0,3,1,17.0,0,0,8.6625,2,0,0.0,2
164,0,3,1,1.0,4,1,39.6875,2,5,1.0,0
165,1,3,1,9.0,0,2,20.525,2,2,1.0,0
166,1,1,0,21.9920671948761,0,1,55.0,2,1,1.0,3
167,0,3,0,45.0,1,4,27.9,2,5,1.0,3
168,0,1,1,47.0000405795677,0,0,25.925,2,0,0.0,2
169,0,3,1,28.0,0,0,56.4958,2,0,0.0,2
170,0,1,1,61.0,0,0,33.5,2,0,0.0,2
171,0,3,1,4.0,4,1,29.125,1,5,1.0,0
172,1,3,0,1.0,1,1,11.1333,2,2,1.0,1
173,0,3,1,21.0,0,0,7.925,2,0,0.0,2
174,0,1,1,56.0,0,0,30.6958,0,0,0.0,2
175,0,3,1,18.0,1,1,7.8542,2,2,1.0,2
176,0,3,1,-2.7872974146636564,3,1,25.4667,2,4,1.0,0
177,0,1,0,50.0,0,0,28.7125,0,0,0.0,1
178,0,2,1,30.0,0,0,13.0,2,0,0.0,2
179,0,3,1,36.0,0,0,0.0,2,0,0.0,2
180,0,3,0,17.740905264236254,8,2,69.55,2,10,1.0,1
181,0,2,1,23.001806424603398,0,0,15.05,0,0,0.0,2
182,0,3,1,9.0,4,2,31.3875,2,6,1.0,0
183,1,2,1,1.0,2,1,39.0,2,3,1.0,0
184,1,3,0,4.0,0,2,22.025,2,2,1.0,1
185,0,1,1,28.01723574403082,0,0,50.0,2,0,0.0,2
186,1,3,0,42.822920938455006,1,0,15.5,1,1,1.0,3
187,1,1,1,45.0,0,0,26.55,2,0,0.0,2
188,0,3,1,40.0,1,1,15.5,1,2,1.0,2
189,0,3,1,36.0,0,0,7.8958,2,0,0.0,2
190,1,2,0,32.0,0,0,13.0,2,0,0.0,3
191,0,2,1,19.0,0,0,13.0,2,0,0.0,2
192,1,3,0,19.0,1,0,7.8542,2,1,1.0,1
193,1,2,1,3.0,1,1,26.0,2,2,1.0,0
194,1,1,0,44.0,0,0,27.7208,0,0,0.0,3
195,1,1,0,58.0,0,0,146.5208,0,0,0.0,1
196,0,3,1,44.490434136549865,0,0,7.75,1,0,0.0,2
197,0,3,1,42.0,0,1,8.4042,2,1,1.0,2
198,1,3,0,22.283268804673984,0,0,7.75,1,0,0.0,1
199,0,2,0,24.0,0,0,13.0,2,0,0.0,1
200,0,3,1,28.0,0,0,9.5,2,0,0.0,2
201,0,3,1,15.479405589659006,8,2,69.55,2,10,1.0,2
202,0,3,1,34.0,0,0,6.4958,2,0,0.0,2
203,0,3,1,45.5,0,0,7.225,0,0,0.0,2
204,1,3,1,18.0,0,0,8.05,2,0,0.0,2
205,0,3,0,2.0,0,1,10.4625,2,1,1.0,1
206,0,3,1,32.0,1,0,15.85,2,1,1.0,2
207,1,3,1,26.0,0,0,18.7875,0,0,0.0,2
208,1,3,0,16.0,0,0,7.75,1,0,0.0,1
209,1,1,1,40.0,0,0,31.0,0,0,0.0,2
210,0,3,1,24.0,0,0,7.05,2,0,0.0,2
211,1,2,0,35.0,0,0,21.0,2,0,0.0,1
212,0,3,1,22.0,0,0,7.25,2,0,0.0,2
213,0,2,1,30.0,0,0,13.0,2,0,0.0,2
214,0,3,1,30.115794401888035,1,0,7.75,1,1,1.0,2
215,1,1,0,31.0,1,0,113.275,0,1,1.0,1
216,1,3,0,27.0,0,0,7.925,2,0,0.0,1
217,0,2,1,42.0,1,0,27.0,2,1,1.0,2
218,1,1,0,32.0,0,0,76.2917,0,0,0.0,1
219,0,2,1,30.0,0,0,10.5,2,0,0.0,2
220,1,3,1,16.0,0,0,8.05,2,0,0.0,2
221,0,2,1,27.0,0,0,13.0,2,0,0.0,2
222,0,3,1,51.0,0,0,8.05,2,0,0.0,2
223,0,3,1,27.210377476814877,0,0,7.8958,2,0,0.0,2
224,1,1,1,38.0,1,0,90.0,2,1,1.0,2
225,0,3,1,22.0,0,0,9.35,2,0,0.0,2
226,1,2,1,19.0,0,0,10.5,2,0,0.0,2
227,0,3,1,20.5,0,0,7.25,2,0,0.0,2
228,0,2,1,18.0,0,0,13.0,2,0,0.0,2
229,0,3,0,9.134048306014153,3,1,25.4667,2,4,1.0,1
230,1,1,0,35.0,1,0,83.475,2,1,1.0,3
231,0,3,1,29.0,0,0,7.775,2,0,0.0,2
232,0,2,1,59.0,0,0,13.5,2,0,0.0,2
233,1,3,0,5.0,4,2,31.3875,2,6,1.0,1
234,0,2,1,24.0,0,0,10.5,2,0,0.0,2
235,0,3,0,22.890392284170968,0,0,7.55,2,0,0.0,1
236,0,2,1,44.0,1,0,26.0,2,1,1.0,2
237,1,2,0,8.0,0,2,26.25,2,2,1.0,1
238,0,2,1,19.0,0,0,10.5,2,0,0.0,2
239,0,2,1,33.0,0,0,12.275,2,0,0.0,2
240,0,3,0,14.500795164541286,1,0,14.4542,0,1,1.0,1
241,1,3,0,42.822920938455006,1,0,15.5,1,1,1.0,1
242,0,2,1,29.0,0,0,10.5,2,0,0.0,2
243,0,3,1,22.0,0,0,7.125,2,0,0.0,2
244,0,3,1,30.0,0,0,7.225,0,0,0.0,2
245,0,1,1,44.0,2,0,90.0,1,2,1.0,4
246,0,3,0,25.0,0,0,7.775,2,0,0.0,1
247,1,2,0,24.0,0,2,14.5,2,2,1.0,3
248,1,1,1,37.0,1,1,52.5542,2,2,1.0,2
249,0,2,1,54.0,1,0,26.0,2,1,1.0,4
250,0,3,1,30.751488202775956,0,0,7.25,2,0,0.0,2
251,0,3,0,29.0,1,1,10.4625,2,2,1.0,3
252,0,1,1,62.0,0,0,26.55,2,0,0.0,2
253,0,3,1,30.0,1,0,16.1,2,1,1.0,2
254,0,3,0,41.0,0,2,20.2125,2,2,1.0,3
255,1,3,0,29.0,0,2,15.2458,0,2,1.0,3
256,1,1,0,42.82279280077029,0,0,79.2,0,0,0.0,3
257,1,1,0,30.0,0,0,86.5,2,0,0.0,1
258,1,1,0,35.0,0,0,512.3292,0,0,0.0,1
259,1,2,0,50.0,0,1,26.0,2,1,1.0,3
260,0,3,1,44.490434136549865,0,0,7.75,1,0,0.0,2
261,1,3,1,3.0,4,2,31.3875,2,6,1.0,0
262,0,1,1,52.0,1,1,79.65,2,2,1.0,2
263,0,1,1,40.0,0,0,0.0,2,0,0.0,2
264,0,3,0,22.283268804673984,0,0,7.75,1,0,0.0,1
265,0,2,1,36.0,0,0,10.5,2,0,0.0,2
266,0,3,1,16.0,4,1,39.6875,2,5,1.0,2
267,1,3,1,25.0,1,0,7.775,2,1,1.0,2
268,1,1,0,58.0,0,1,153.4625,2,1,1.0,3
269,1,1,0,35.0,0,0,135.6333,2,0,0.0,1
270,0,1,1,55.66947503506299,0,0,31.0,2,0,0.0,2
271,1,3,1,25.0,0,0,0.0,2,0,0.0,2
272,1,2,0,41.0,0,1,19.5,2,1,1.0,3
273,0,1,1,37.0,0,1,29.7,0,1,1.0,2
274,1,3,0,22.283268804673984,0,0,7.75,1,0,0.0,1
275,1,1,0,63.0,1,0,77.9583,2,1,1.0,1
276,0,3,0,45.0,0,0,7.75,2,0,0.0,1
277,0,2,1,29.881061370848247,0,0,0.0,2,0,0.0,2
278,0,3,1,7.0,4,1,29.125,1,5,1.0,0
279,1,3,0,35.0,1,1,20.25,2,2,1.0,3
280,0,3,1,65.0,0,0,7.75,1,0,0.0,2
281,0,3,1,28.0,0,0,7.8542,2,0,0.0,2
282,0,3,1,16.0,0,0,9.5,2,0,0.0,2
283,1,3,1,19.0,0,0,8.05,2,0,0.0,2
284,0,1,1,63.99936542452485,0,0,26.0,2,0,0.0,2
285,0,3,1,33.0,0,0,8.6625,0,0,0.0,2
286,1,3,1,30.0,0,0,9.5,2,0,0.0,2
287,0,3,1,22.0,0,0,7.8958,2,0,0.0,2
288,1,2,1,42.0,0,0,13.0,2,0,0.0,2
289,1,3,0,22.0,0,0,7.75,1,0,0.0,1
290,1,1,0,26.0,0,0,78.85,2,0,0.0,1
291,1,1,0,19.0,1,0,91.0792,0,1,1.0,3
292,0,2,1,36.0,0,0,12.875,0,0,0.0,2
293,0,3,0,24.0,0,0,8.85,2,0,0.0,1
294,0,3,1,24.0,0,0,7.8958,2,0,0.0,2
295,0,1,1,39.99092739130857,0,0,27.7208,0,0,0.0,2
296,0,3,1,23.5,0,0,7.2292,0,0,0.0,2
297,0,1,0,2.0,1,2,151.55,2,3,1.0,1
298,1,1,1,44.666386173662254,0,0,30.5,2,0,0.0,2
299,1,1,0,50.0,0,1,247.5208,0,1,1.0,3
300,1,3,0,22.283268804673984,0,0,7.75,1,0,0.0,1
301,1,3,1,20.44758100684315,2,0,23.25,1,2,1.0,2
302,0,3,1,19.0,0,0,0.0,2,0,0.0,2
303,1,2,0,30.00088958723129,0,0,12.35,1,0,0.0,1
304,0,3,1,30.65516736544374,0,0,8.05,2,0,0.0,2
305,1,1,1,0.92,1,2,151.55,2,3,1.0,0
306,1,1,0,24.98996895840683,0,0,110.8833,0,0,0.0,1
307,1,1,0,17.0,1,0,108.9,0,1,1.0,3
308,0,2,1,30.0,1,0,24.0,0,1,1.0,2
309,1,1,0,30.0,0,0,56.9292,0,0,0.0,1
310,1,1,0,24.0,0,0,83.1583,0,0,0.0,1
311,1,1,0,18.0,2,2,262.375,0,4,1.0,1
312,0,2,0,26.0,1,1,26.0,2,2,1.0,3
313,0,3,1,28.0,0,0,7.8958,2,0,0.0,2
314,0,2,1,43.0,1,1,26.25,2,2,1.0,2
315,1,3,0,26.0,0,0,7.8542,2,0,0.0,1
316,1,2,0,24.0,1,0,26.0,2,1,1.0,3
317,0,2,1,54.0,0,0,14.0,2,0,0.0,4
318,1,1,0,31.0,0,2,164.8667,2,2,1.0,1
319,1,1,0,40.0,1,1,134.5,0,2,1.0,3
320,0,3,1,22.0,0,0,7.25,2,0,0.0,2
321,0,3,1,27.0,0,0,7.8958,2,0,0.0,2
322,1,2,0,30.0,0,0,12.35,1,0,0.0,1
323,1,2,0,22.0,1,1,29.0,2,2,1.0,3
324,0,3,1,15.479405589659006,8,2,69.55,2,10,1.0,2
325,1,1,0,36.0,0,0,135.6333,0,0,0.0,1
326,0,3,1,61.0,0,0,6.2375,2,0,0.0,2
327,1,2,0,36.0,0,0,13.0,2,0,0.0,3
328,1,3,0,31.0,1,1,20.525,2,2,1.0,3
329,1,1,0,16.0,0,1,57.9792,0,1,1.0,1
330,1,3,0,19.491290538600747,2,0,23.25,1,2,1.0,1
331,0,1,1,45.5,0,0,28.5,2,0,0.0,2
332,0,1,1,38.0,0,1,153.4625,2,1,1.0,2
333,0,3,1,16.0,2,0,18.0,2,2,1.0,2
334,1,1,0,24.242309864335414,1,0,133.65,2,1,1.0,3
335,0,3,1,27.210377476814877,0,0,7.8958,2,0,0.0,2
336,0,1,1,29.0,1,0,66.6,2,1,1.0,2
337,1,1,0,41.0,0,0,134.5,0,0,0.0,1
338,1,3,1,45.0,0,0,8.05,2,0,0.0,2
339,0,1,1,45.0,0,0,35.5,2,0,0.0,2
340,1,2,1,2.0,1,1,26.0,2,2,1.0,0
341,1,1,0,24.0,3,2,263.0,2,5,1.0,1
342,0,2,1,28.0,0,0,13.0,2,0,0.0,2
343,0,2,1,25.0,0,0,13.0,2,0,0.0,2
344,0,2,1,36.0,0,0,13.0,2,0,0.0,2
345,1,2,0,24.0,0,0,13.0,2,0,0.0,1
346,1,2,0,40.0,0,0,13.0,2,0,0.0,1
347,1,3,0,26.001915087736677,1,0,16.1,2,1,1.0,3
348,1,3,1,3.0,1,1,15.9,2,2,1.0,0
349,0,3,1,42.0,0,0,8.6625,2,0,0.0,2
350,0,3,1,23.0,0,0,9.225,2,0,0.0,2
351,0,1,1,36.49572261662319,0,0,35.0,2,0,0.0,2
352,0,3,1,15.0,1,1,7.2292,0,2,1.0,2
353,0,3,1,25.0,1,0,17.8,2,1,1.0,2
354,0,3,1,32.39247638874712,0,0,7.225,0,0,0.0,2
355,0,3,1,28.0,0,0,9.5,2,0,0.0,2
356,1,1,0,22.0,0,1,55.0,2,1,1.0,1
357,0,2,0,38.0,0,0,13.0,2,0,0.0,1
358,1,3,0,18.991491555867693,0,0,7.8792,1,0,0.0,1
359,1,3,0,18.991491555867693,0,0,7.8792,1,0,0.0,1
360,0,3,1,40.0,1,4,27.9,2,5,1.0,2
361,0,2,1,29.0,1,0,27.7208,0,1,1.0,2
362,0,3,0,45.0,0,1,14.4542,0,1,1.0,3
363,0,3,1,35.0,0,0,7.05,2,0,0.0,2
364,0,3,1,43.12656573415905,1,0,15.5,1,1,1.0,2
365,0,3,1,30.0,0,0,7.25,2,0,0.0,2
366,1,1,0,60.0,1,0,75.25,0,1,1.0,3
367,1,3,0,12.939284189912959,0,0,7.2292,0,0,0.0,3
368,1,3,0,22.283268804673984,0,0,7.75,1,0,0.0,1
369,1,1,0,24.0,0,0,69.3,0,0,0.0,3
370,1,1,1,25.0,1,0,55.4417,0,1,1.0,2
371,0,3,1,18.0,1,0,6.4958,2,1,1.0,2
372,0,3,1,19.0,0,0,8.05,2,0,0.0,2
373,0,1,1,22.0,0,0,135.6333,0,0,0.0,2
374,0,3,0,3.0,3,1,21.075,2,4,1.0,1
375,1,1,0,23.149043304777077,1,0,82.1708,0,1,1.0,3
376,1,3,0,22.0,0,0,7.25,2,0,0.0,1
377,0,1,1,27.0,0,2,211.5,0,2,1.0,2
378,0,3,1,20.0,0,0,4.0125,0,0,0.0,2
379,0,3,1,19.0,0,0,7.775,2,0,0.0,2
380,1,1,0,42.0,0,0,227.525,0,0,0.0,1
381,1,3,0,1.0,0,2,15.7417,0,2,1.0,1
382,0,3,1,32.0,0,0,7.925,2,0,0.0,2
383,1,1,0,35.0,1,0,52.0,2,1,1.0,3
384,0,3,1,27.210377476814877,0,0,7.8958,2,0,0.0,2
385,0,2,1,18.0,0,0,73.5,2,0,0.0,2
386,0,3,1,1.0,5,2,46.9,2,7,1.0,0
387,1,2,0,36.0,0,0,13.0,2,0,0.0,1
388,0,3,1,23.024770247864115,0,0,7.7292,1,0,0.0,2
389,1,2,0,17.0,0,0,12.0,0,0,0.0,1
390,1,1,1,36.0,1,2,120.0,2,3,1.0,2
391,1,3,1,21.0,0,0,7.7958,2,0,0.0,2
392,0,3,1,28.0,2,0,7.925,2,2,1.0,2
393,1,1,0,23.0,1,0,113.275,0,1,1.0,1
394,1,3,0,24.0,0,2,16.7,2,2,1.0,3
395,0,3,1,22.0,0,0,7.7958,2,0,0.0,2
396,0,3,0,31.0,0,0,7.8542,2,0,0.0,1
397,0,2,1,46.0,0,0,26.0,2,0,0.0,2
398,0,2,1,23.0,0,0,10.5,2,0,0.0,4
399,1,2,0,28.0,0,0,12.65,2,0,0.0,3
400,1,3,1,39.0,0,0,7.925,2,0,0.0,2
401,0,3,1,26.0,0,0,8.05,2,0,0.0,2
402,0,3,0,21.0,1,0,9.825,2,1,1.0,1
403,0,3,1,28.0,1,0,15.85,2,1,1.0,2
404,0,3,0,20.0,0,0,8.6625,2,0,0.0,1
405,0,2,1,34.0,1,0,21.0,2,1,1.0,2
406,0,3,1,51.0,0,0,7.75,2,0,0.0,2
407,1,2,1,3.0,1,1,18.75,2,2,1.0,0
408,0,3,1,21.0,0,0,7.775,2,0,0.0,2
409,0,3,0,9.134048306014153,3,1,25.4667,2,4,1.0,1
410,0,3,1,27.210377476814877,0,0,7.8958,2,0,0.0,2
411,0,3,1,19.009217654944067,0,0,6.8583,1,0,0.0,2
412,1,1,0,33.0,1,0,90.0,1,1,1.0,1
413,0,2,1,29.881061370848247,0,0,0.0,2,0,0.0,2
414,1,3,1,44.0,0,0,7.925,2,0,0.0,2
415,0,3,0,24.353248191463308,0,0,8.05,2,0,0.0,3
416,1,2,0,34.0,1,1,32.5,2,2,1.0,3
417,1,2,0,18.0,0,2,13.0,2,2,1.0,1
418,0,2,1,30.0,0,0,13.0,2,0,0.0,2
419,0,3,0,10.0,0,2,24.15,2,2,1.0,1
420,0,3,1,32.335459655519706,0,0,7.8958,0,0,0.0,2
421,0,3,1,21.0,0,0,7.7333,1,0,0.0,2
422,0,3,1,29.0,0,0,7.875,2,0,0.0,2
423,0,3,0,28.0,1,1,14.4,2,2,1.0,3
424,0,3,1,18.0,1,1,20.2125,2,2,1.0,2
425,0,3,1,30.751488202775956,0,0,7.25,2,0,0.0,2
426,1,2,0,28.0,1,0,26.0,2,1,1.0,3
427,1,2,0,19.0,0,0,26.0,2,0,0.0,1
428,0,3,1,44.490434136549865,0,0,7.75,1,0,0.0,2
429,1,3,1,32.0,0,0,8.05,2,0,0.0,2
430,1,1,1,28.0,0,0,26.55,2,0,0.0,2
431,1,3,0,26.001915087736677,1,0,16.1,2,1,1.0,3
432,1,2,0,42.0,1,0,26.0,2,1,1.0,3
433,0,3,1,17.0,0,0,7.125,2,0,0.0,2
434,0,1,1,50.0,1,0,55.9,2,1,1.0,2
435,1,1,0,14.0,1,2,120.0,2,3,1.0,1
436,0,3,0,21.0,2,2,34.375,2,4,1.0,1
437,1,2,0,24.0,2,3,18.75,2,5,1.0,3
438,0,1,1,64.0,1,4,263.0,2,5,1.0,2
439,0,2,1,31.0,0,0,10.5,2,0,0.0,2
440,1,2,0,45.0,1,1,26.25,2,2,1.0,3
441,0,3,1,20.0,0,0,9.5,2,0,0.0,2
442,0,3,1,25.0,1,0,7.775,2,1,1.0,2
443,1,2,0,28.0,0,0,13.0,2,0,0.0,1
444,1,3,1,22.999998751898517,0,0,8.1125,2,0,0.0,2
445,1,1,1,4.0,0,2,81.8583,2,2,1.0,0
446,1,2,0,13.0,0,1,19.5,2,1,1.0,1
